id_poliza,num_poliza,nombre_x,apellido_paterno,apellido_materno,rfc,fecha_nacimiento,edad,sexo,estado_civil,ocupacion,ramo,plan,fecha_emision,fecha_inicio_vigencia,fecha_fin_vigencia,num_renovaciones,status_poliza,motivo_baja,canal_venta,marca_vehiculo,modelo_vehiculo,tipo_vehiculo,suma_asegurada,deducible,prima_neta,prima_total,forma_pago,agente_id,estado,municipio,codigo_postal,nombre_largo_x,tasa_base_x,nombre_largo_y,tasa_base_y,nombre_y,region_x,g_edad,nombre_largo,tasa_base,nombre,region_y,prima_calc,nivel_riesgo,edad_calc,dias_vigencia,fraccion_expuesta
POL-000011,GMM-23-000011,Daniel,Ortiz,Martinez,ORDM850718BP5,1985-07-18,40,F,Union libre,Analista,GMM,Premium,2023-05-20,2023-05-20,2024-05-20,1,Cancelada,Falta de pago,Banca Seguros,,,,800000,8000.0,17600.0,20416.0,Anual,AG035,Coahuila,Acuna,13655.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Lorena Ramos,Estado de Mexico,31-45,Gastos Medicos Mayores,0.022,Lorena Ramos,Estado de Mexico,20416.0,ALTO,40.8,366,1.0
POL-000012,GMM-20-000012,Luz,Silva,Silva,SILS760312UO4,1976-03-12,50,F,Viudo,Director,GMM,Plus,2020-01-07,2020-01-07,2021-01-07,2,Vigente,,Directo,,,,500000,5000.0,12650.0,14674.0,Anual,AG015,Veracruz,Orizaba,73514.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Diego Castillo,Michoacan,46-60,Gastos Medicos Mayores,0.022,Diego Castillo,Michoacan,12760.0,MEDIO,50.2,366,1.0
POL-000013,Aut-23-000013,Norma,Ruiz,Ramos,RUNR771123OD7,1977-11-23,48,F,Casado,Empleado,Autos,Amplia,2023-12-08,2023-12-08,2024-12-08,1,Vigente,,Directo,Volkswagen,2020.0,Pick-up,800000,3000.0,28000.0,35078.4,Mensual,AG019,Yucatan,Progreso,89251.0,Automoviles,0.035,Automoviles,0.035,Silvia Hernandez,Veracruz,46-60,Automoviles,0.035,Silvia Hernandez,Veracruz,32480.000000000004,ALTO,48.5,366,1.0
POL-000014,GMM-21-000014,Luz,Martinez,Ramos,MALR941231CY0,1994-12-31,31,F,Casado,Empleado,GMM,Elite,2021-02-25,2021-02-25,2022-02-25,2,Vigente,,Digital,,,,3000000,15000.0,66000.0,76560.0,Anual,AG008,Jalisco,Tonala,13729.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Sandra Reyes,Guanajuato,31-45,Gastos Medicos Mayores,0.022,Sandra Reyes,Guanajuato,76560.0,ALTO,31.4,365,1.0
POL-000015,GMM-19-000015,Gabriela,Dominguez,Morales,DOGM610221NR9,1961-02-21,65,F,Divorciado,Empresario,GMM,Basico,2019-05-29,2019-05-29,2020-05-29,1,Vigente,,Agente,,,,500000,20000.0,15125.0,18948.6,Mensual,AG059,Chihuahua,Cuauhtemoc,51823.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Enrique Dominguez,Sonora,61+,Gastos Medicos Mayores,0.022,Enrique Dominguez,Sonora,12760.0,MEDIO,65.2,366,1.0
POL-000016,Acc-22-000016,Francisco,Hernandez,Flores,HEFF600914YS7,1960-09-14,65,F,Union libre,Estudiante,Accidentes Personales,Familiar,2022-03-15,2022-03-15,2023-03-15,1,Vigente,,Agente,,,,300000,3000.0,3600.0,4301.28,Semestral,AG032,Queretaro,San Juan del Rio,64252.0,Accidentes Personales,0.012,Accidentes Personales,0.012,Norma Medina,Yucatan,61+,Accidentes Personales,0.012,Norma Medina,Yucatan,4176.0,BAJO,65.7,365,1.0
POL-000017,Vid-19-000017,Silvia,Garcia,Martinez,GASM031118TG0,2003-11-18,22,M,Soltero,Arquitecto,Vida,Permanente,2019-05-03,2019-05-03,2020-05-03,2,Vigente,,Agente,,,,1000000,,18000.0,20880.0,Anual,AG046,Nuevo Leon,San Nicolas,24938.0,Vida Individual,0.018,Vida Individual,0.018,Esperanza Ramirez,Guanajuato,18-30,Vida Individual,0.018,Esperanza Ramirez,Guanajuato,20880.0,ALTO,22.5,366,1.0
POL-000018,Aut-22-000018,Sergio,Rios,Ramirez,RISR781010BX4,1978-10-10,47,M,Union libre,Ejecutivo,Autos,Amplia,2022-05-13,2022-05-13,2023-05-13,1,Vigente,,Digital,Chevrolet,2025.0,Deportivo,800000,8000.0,28000.0,34104.0,Trimestral,AG076,Tamaulipas,Victoria,39086.0,Automoviles,0.035,Automoviles,0.035,Elena Diaz,Estado de Mexico,46-60,Automoviles,0.035,Elena Diaz,Estado de Mexico,32480.000000000004,ALTO,47.6,365,1.0
POL-000019,Aut-21-000019,Gloria,Moreno,Vargas,MOGV730602EM6,1973-06-02,52,F,Viudo,Arquitecto,Autos,Amplia Plus,2021-06-11,2021-06-11,2022-06-11,0,Vigente,,Banca Seguros,Hyundai,2022.0,Deportivo,300000,8000.0,10500.0,12180.0,Anual,AG012,Chihuahua,Ciudad Juarez,15549.0,Automoviles,0.035,Automoviles,0.035,Sandra Garcia,Chihuahua,46-60,Automoviles,0.035,Sandra Garcia,Chihuahua,12180.000000000002,MEDIO,53.0,365,1.0
POL-000020,GMM-21-000020,Oscar,Rodriguez,Castillo,ROOC810422EY3,1981-04-22,45,F,Divorciado,Director,GMM,Basico,2021-10-16,2021-10-16,2022-10-16,0,Vigente,,Agente,,,,800000,5000.0,18920.0,21947.2,Anual,AG077,Yucatan,Valladolid,,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Oscar Moreno,Chihuahua,31-45,Gastos Medicos Mayores,0.022,Oscar Moreno,Chihuahua,20416.0,ALTO,45.1,365,1.0
POL-000021,Acc-20-000021,Valeria,Flores,Cruz,FLVC970522FF7,1997-05-22,28,M,Viudo,Tecnico,Accidentes Personales,Individual,2020-04-27,2020-04-27,2021-04-27,0,Vigente,,Agente,,,,500000,3000.0,6000.0,7516.8,Mensual,AG035,CDMX,Coyoacan,83825.0,Accidentes Personales,0.012,Accidentes Personales,0.012,Lorena Ramos,Estado de Mexico,18-30,Accidentes Personales,0.012,Lorena Ramos,Estado de Mexico,6959.999999999999,MEDIO,29.0,365,1.0
POL-000022,Aut-24-000022,Roberto,Medina,Gutierrez,MERG790521CH1,1979-05-21,46,M,Divorciado,,Autos,Amplia,2024-01-05,2024-01-05,2025-01-05,1,Vigente,,Agente,Ford,2020.0,Pick-up,150000,5000.0,14000.0,6272.7,Semestral,AG079,Jalisco,Tonala,97078.0,Automoviles,0.035,Automoviles,0.035,Sofia Perez,Sonora,46-60,Automoviles,0.035,Sofia Perez,Sonora,6090.000000000001,MEDIO,47.0,366,1.0
POL-000023,Vid-19-000023,Irene,Chavez,Cruz,CHIC720323ME6,1972-03-23,54,F,Soltero,Jubilado,Vida,10 anios,2019-01-09,2019-01-09,2020-01-09,2,Vigente,,Agente,,,,2000000,,49680.0,57628.8,Anual,AG015,Guanajuato,Irapuato,83749.0,Vida Individual,0.018,Vida Individual,0.018,Diego Castillo,Michoacan,46-60,Vida Individual,0.018,Diego Castillo,Michoacan,41760.0,ALTO,54.2,365,1.0
POL-000024,Aut-20-000024,Mario,Molina,Morales,MOMM941231LN4,1994-12-31,31,F,Viudo,Arquitecto,Autos,RC+LT,2020-11-15,2020-11-15,2021-11-15,2,Vigente,,Digital,Chevrolet,2024.0,Sedan,400000,3000.0,14000.0,17539.2,Mensual,AG010,Tamaulipas,Nuevo Laredo,35958.0,Automoviles,0.035,Automoviles,0.035,Jorge Vargas,Coahuila,31-45,Automoviles,0.035,Jorge Vargas,Coahuila,16240.000000000002,ALTO,31.4,365,1.0
POL-000025,GMM-24-000025,Sofia,Ortiz,Perez,ORSP820919PD3,1982-09-19,43,M,Union libre,Tecnico,GMM,Plus,2024-09-05,2024-09-05,2025-09-05,1,Cancelada,Cambio de producto,Agente,,,,2000000,10000.0,45980.0,53336.8,Anual,AG052,Coahuila,Acuna,92587.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Jose Navarro,Jalisco,31-45,Gastos Medicos Mayores,0.022,Jose Navarro,Jalisco,51040.0,ALTO,43.7,365,1.0
POL-000026,GMM-21-000026,Silvia,Medina,Flores,MESF001116XO0,2000-11-16,25,M,Viudo,Empresario,GMM,Plus,2021-04-14,2021-04-14,2022-04-14,0,Vigente,,Agente,,,,3000000,5000.0,66000.0,82684.8,Mensual,AG013,Chihuahua,Chihuahua,57310.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Luz Medina,Michoacan,18-30,Gastos Medicos Mayores,0.022,Luz Medina,Michoacan,76560.0,ALTO,25.5,365,1.0
POL-000027,Aut-21-000027,Ricardo,Gutierrez,Rivera,GURR930706TP4,1993-07-06,32,F,Soltero,Tecnico,Autos,RC+LT,2021-08-29,2021-08-29,2022-08-29,2,Cancelada,Cambio de producto,Agente,Ford,2017.0,Camioneta,800000,5000.0,28000.0,35078.4,Mensual,AG035,Queretaro,Queretaro,94720.0,Automoviles,0.035,Automoviles,0.035,Lorena Ramos,Estado de Mexico,31-45,Automoviles,0.035,Lorena Ramos,Estado de Mexico,32480.000000000004,ALTO,32.9,365,1.0
POL-000028,GMM-23-000028,Leticia,Romero,Ramirez,ROLR620512ZK4,1962-05-12,63,F,Viudo,Maestro,GMM,Elite,2023-04-09,2023-04-09,2024-04-09,0,Vigente,,Directo,,,,300000,20000.0,8877.0,10297.32,Anual,AG054,Queretaro,San Juan del Rio,26805.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Enrique Castillo,Chihuahua,61+,Gastos Medicos Mayores,0.022,Enrique Castillo,Chihuahua,7655.999999999999,MEDIO,64.0,366,1.0
POL-000029,Aut-20-000029,Roberto,Nunez,Lopez,NURL750608DJ1,1975-06-08,50,F,Viudo,Tecnico,Autos,Amplia,2020-10-05,2020-10-05,2021-10-05,1,Vigente,,Broker,Hyundai,2016.0,Compacto,300000,3000.0,10500.0,12180.0,Anual,AG016,CDMX,Tlalpan,17581.0,Automoviles,0.035,Automoviles,0.035,Gabriela Nunez,CDMX,46-60,Automoviles,0.035,Gabriela Nunez,CDMX,12180.000000000002,MEDIO,50.9,365,1.0
POL-000030,GMM-20-000030,Patricia,Ramirez,Vega,RAPV910210CS6,1991-02-10,35,M,Casado,Consultor,GMM,Plus,2020-12-05,2020-12-05,2021-12-05,2,Vigente,,Agente,,,,300000,8000.0,17864.0,8268.48,Mensual,AG038,CDMX,Tlalpan,40395.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Lorena Morales,Chihuahua,31-45,Gastos Medicos Mayores,0.022,Lorena Morales,Chihuahua,7655.999999999999,MEDIO,35.3,365,1.0
POL-000031,Aut-19-000031,Juan,Ruiz,Silva,RUJS691125SE2,1969-11-25,56,M,Viudo,Medico,Autos,RC+LT,2019-03-19,2019-03-19,2020-03-19,2,Vigente,,Digital,Chevrolet,2016.0,Compacto,800000,3000.0,14000.0,32480.0,Anual,AG072,Queretaro,El Marques,65976.0,Automoviles,0.035,Automoviles,0.035,Carlos Romero,Puebla,46-60,Automoviles,0.035,Carlos Romero,Puebla,32480.000000000004,ALTO,56.5,366,1.0
POL-000032,Vid-23-000032,Norma,Salazar,Gonzalez,SANG890507XG1,1989-05-07,36,M,Viudo,,Vida,Permanente,2023-12-10,2023-12-10,2024-12-10,0,Vigente,,Directo,,,,500000,,42480.0,11181.24,Trimestral,AG040,Guanajuato,Irapuato,96427.0,Vida Individual,0.018,Vida Individual,0.018,Luz Rodriguez,Tamaulipas,31-45,Vida Individual,0.018,Luz Rodriguez,Tamaulipas,10440.0,MEDIO,37.0,366,1.0
POL-000033,Vid-20-000033,Luis,Salazar,Silva,SALS730613JI8,1973-06-13,52,M,Union libre,Administrativo,Vida,20 anios,2020-09-02,2020-09-02,2021-09-02,1,Vigente,,Banca Seguros,,,,2000000,,48240.0,60435.07,Mensual,AG073,Veracruz,Xalapa,65645.0,Vida Individual,0.018,Vida Individual,0.018,Mario Ramos,Baja California,46-60,Vida Individual,0.018,Mario Ramos,Baja California,41760.0,ALTO,52.9,365,1.0
POL-000034,Acc-22-000034,Oscar,Morales,Garcia,MOOG850901YF9,1985-09-01,40,F,Viudo,Tecnico,Accidentes Personales,Familiar,2022-04-07,2022-04-07,2023-04-07,2,Vigente,,Banca Seguros,,,,300000,2000.0,3600.0,4384.8,Trimestral,AG040,Jalisco,Tonala,77797.0,Accidentes Personales,0.012,Accidentes Personales,0.012,Luz Rodriguez,Tamaulipas,31-45,Accidentes Personales,0.012,Luz Rodriguez,Tamaulipas,4176.0,BAJO,40.7,365,1.0
POL-000035,Acc-24-000035,Manuel,Sanchez,Ramirez,SAMR850302UY2,1985-03-02,41,M,Soltero,Analista,Accidentes Personales,Individual,2024-03-25,2024-03-25,2025-03-25,0,Vencida,,Broker,,,,300000,1000.0,3600.0,4176.0,Anual,AG040,Coahuila,Saltillo,65058.0,Accidentes Personales,0.012,Accidentes Personales,0.012,Luz Rodriguez,Tamaulipas,31-45,Accidentes Personales,0.012,Luz Rodriguez,Tamaulipas,4176.0,BAJO,41.2,365,1.0
POL-000036,GMM-21-000036,Pablo,Reyes,Ramos,REPR690121XG3,1969-01-21,57,F,Casado,Ingeniero,GMM,Basico,2021-10-10,2021-10-10,2022-10-10,0,Vigente,,Agente,,,,300000,5000.0,8283.0,9896.53,Semestral,AG005,Sonora,Ciudad Obregon,53702.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Claudia Salazar,Estado de Mexico,46-60,Gastos Medicos Mayores,0.022,Claudia Salazar,Estado de Mexico,7655.999999999999,MEDIO,57.3,365,1.0
POL-000037,Acc-23-000037,Arturo,Nunez,Reyes,NUAR031210MZ1,2003-12-10,22,F,Divorciado,Comerciante,Accidentes Personales,Familiar,2023-09-27,2023-09-27,2024-09-27,1,Vigente,,Agente,,,,300000,2000.0,3600.0,4176.0,Anual,AG058,Yucatan,Merida,48766.0,Accidentes Personales,0.012,Accidentes Personales,0.012,Luis Silva,Coahuila,18-30,Accidentes Personales,0.012,Luis Silva,Coahuila,4176.0,BAJO,22.4,366,1.0
POL-000038,Acc-24-000038,Alicia,Martinez,Torres,MAAT670412ES8,1967-04-12,59,M,Soltero,Maestro,Accidentes Personales,Familiar,2024-02-09,2024-02-09,2025-02-09,3,Vigente,,Agente,,,,300000,1000.0,3600.0,4301.28,Semestral,AG013,Estado de Mexico,Toluca,25670.0,Accidentes Personales,0.012,Accidentes Personales,0.012,Luz Medina,Michoacan,46-60,Accidentes Personales,0.012,Luz Medina,Michoacan,4176.0,BAJO,59.1,366,1.0
POL-000039,GMM-20-000039,Patricia,Vargas,Ramos,VAPR860703LT8,1986-07-03,39,M,Divorciado,Administrativo,GMM,Basico,2020-12-28,2020-12-28,2021-12-28,1,Vigente,,Agente,,,,800000,15000.0,17600.0,21028.48,Semestral,AG079,Estado de Mexico,Naucalpan,33416.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Sofia Perez,Sonora,31-45,Gastos Medicos Mayores,0.022,Sofia Perez,Sonora,20416.0,ALTO,39.9,365,1.0
POL-000040,GMM-24-000040,Jose,Ramos,Martinez,RAJM870311ZU2,1987-03-11,39,F,Union libre,Ama de casa,GMM,Premium,2024-08-21,2024-08-21,2025-08-21,4,Vigente,,Digital,,,,2000000,10000.0,44000.0,55123.2,Mensual,AG056,Chihuahua,Chihuahua,47466.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Monica Ortiz,Tamaulipas,31-45,Gastos Medicos Mayores,0.022,Monica Ortiz,Tamaulipas,51040.0,ALTO,39.2,365,1.0
POL-000041,GMM-24-000041,Mario,Hernandez,Romero,HEMR731204TE7,1973-12-04,52,M,Casado,,GMM,Elite,2024-05-31,2024-05-31,2025-05-31,0,Vigente,,Broker,,,,3000000,20000.0,77880.0,93051.02,Semestral,AG046,Tamaulipas,Reynosa,37167.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Esperanza Ramirez,Guanajuato,46-60,Gastos Medicos Mayores,0.022,Esperanza Ramirez,Guanajuato,76560.0,ALTO,52.5,365,1.0
POL-000042,GMM-19-000042,Alejandro,Rodriguez,Reyes,ROAR610203GG3,1961-02-03,65,M,Soltero,Abogado,GMM,Plus,2019-02-25,2019-02-25,2020-02-25,2,Vigente,,Broker,,,,2000000,8000.0,60500.0,70180.0,Anual,AG078,Puebla,Tehuacan,31846.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Luis Aguilar,Veracruz,61+,Gastos Medicos Mayores,0.022,Luis Aguilar,Veracruz,51040.0,ALTO,65.3,365,1.0
POL-000043,Acc-23-000043,Francisco,Ramos,Vargas,RAFV920610KA6,1992-06-10,33,F,Casado,Director,Accidentes Personales,Individual,2023-11-23,2023-11-23,2024-11-23,1,Vigente,,Agente,,,,300000,2000.0,3600.0,4301.28,Semestral,AG076,Puebla,Atlixco,47896.0,Accidentes Personales,0.012,Accidentes Personales,0.012,Elena Diaz,Estado de Mexico,31-45,Accidentes Personales,0.012,Elena Diaz,Estado de Mexico,4176.0,BAJO,33.9,366,1.0
POL-000044,GMM-22-000044,Ana,Morales,Flores,MOAF790726VG8,1979-07-26,46,F,Soltero,Empresario,GMM,Elite,2022-07-01,2022-07-01,2023-07-01,3,Vigente,,Broker,,,,200000,8000.0,4796.0,6008.43,Mensual,AG070,Chihuahua,Parral,84319.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Sandra Navarro,Tamaulipas,46-60,Gastos Medicos Mayores,0.022,Sandra Navarro,Tamaulipas,5104.0,BAJO,46.8,365,1.0
POL-000045,Aut-22-000045,Arturo,Dominguez,Ramirez,DOAR941031XE8,1994-10-31,31,F,Viudo,Analista,Autos,Amplia Plus,2022-09-20,2022-09-20,2023-09-20,2,Vigente,,Banca Seguros,Mazda,2017.0,Lujo,300000,3000.0,10500.0,12789.0,Trimestral,AG047,Veracruz,Poza Rica,14431.0,Automoviles,0.035,Automoviles,0.035,Silvia Silva,Queretaro,31-45,Automoviles,0.035,Silvia Silva,Queretaro,12180.000000000002,MEDIO,31.5,365,1.0
POL-000046,Vid-21-000046,Diana,Mendoza,Garcia,MEDG941009DU4,1994-10-09,31,M,Soltero,Independiente,Vida,10 anios,2021-03-27,2021-03-27,2022-03-27,4,Vigente,,Promotor,,,,5000000,,42480.0,104400.0,Anual,AG041,Yucatan,Progreso,37036.0,Vida Individual,0.018,Vida Individual,0.018,Pablo Dominguez,Baja California,31-45,Vida Individual,0.018,Pablo Dominguez,Baja California,104400.0,ALTO,31.6,365,1.0
POL-000047,GMM-20-000047,Raul,Molina,Gutierrez,MORG640206LR3,1964-02-06,62,M,Soltero,Jubilado,GMM,Premium,2020-12-26,2020-12-26,2021-12-26,3,Vigente,,Agente,,,,500000,10000.0,14630.0,18328.46,Mensual,AG063,Jalisco,Tlaquepaque,95249.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Raul Navarro,Puebla,61+,Gastos Medicos Mayores,0.022,Raul Navarro,Puebla,12760.0,MEDIO,62.3,365,1.0
POL-000048,Aut-19-000048,Silvia,Mendoza,Cruz,MESC710923PD0,1971-09-23,54,F,Soltero,Ingeniero,Autos,RC+LT,2019-11-07,2019-11-07,2020-11-07,1,Vigente,,Agente,Mazda,2019.0,Hatchback,150000,5000.0,5250.0,6394.5,Trimestral,AG079,Puebla,Izucar,69441.0,Automoviles,0.035,Automoviles,0.035,Sofia Perez,Sonora,46-60,Automoviles,0.035,Sofia Perez,Sonora,6090.000000000001,MEDIO,54.7,366,1.0
POL-000049,Vid-20-000049,Raul,Vargas,Mendoza,VARM790921ZE6,1979-09-21,46,M,Casado,Tecnico,Vida,Permanente,2020-09-11,2020-09-11,2021-09-11,0,Vigente,,Broker,,,,2000000,,43920.0,50947.2,Anual,AG052,Chihuahua,Cuauhtemoc,17333.0,Vida Individual,0.018,Vida Individual,0.018,Jose Navarro,Jalisco,46-60,Vida Individual,0.018,Jose Navarro,Jalisco,41760.0,ALTO,46.7,365,1.0
POL-000050,Vid-19-000050,Jose,Ruiz,Reyes,RUJR620831RA8,1962-08-31,63,F,Viudo,Consultor,Vida,10 anios,2019-04-22,2019-04-22,2020-04-22,1,Vigente,,Banca Seguros,,,,1000000,,28080.0,32572.8,Anual,AG068,Michoacan,Apatzingan,69792.0,Vida Individual,0.018,Vida Individual,0.018,Valeria Silva,Sonora,61+,Vida Individual,0.018,Valeria Silva,Sonora,20880.0,ALTO,63.7,366,1.0
POL-000051,Acc-21-000051,Enrique,Torres,Perez,TOEP971102EC5,1997-11-02,28,F,Union libre,Ingeniero,Accidentes Personales,Individual,2021-10-11,2021-10-11,2022-10-11,0,Vigente,,Agente,,,,300000,3000.0,3600.0,4384.8,Trimestral,AG022,Veracruz,Coatzacoalcos,29496.0,Accidentes Personales,0.012,Accidentes Personales,0.012,Beatriz Vargas,Guanajuato,18-30,Accidentes Personales,0.012,Beatriz Vargas,Guanajuato,4176.0,BAJO,28.5,365,1.0
POL-000052,GMM-19-000052,Leticia,Medina,Mendoza,MELM701208UO7,1970-12-08,55,M,Divorciado,Ama de casa,GMM,Elite,2019-03-13,2019-03-13,2020-03-13,2,Vigente,,Agente,,,,2000000,8000.0,53900.0,62524.0,Anual,AG073,Puebla,Puebla,75114.0,Gastos Medicos Mayores,0.022,Gastos Medicos Mayores,0.022,Mario Ramos,Baja California,46-60,Gastos Medicos Mayores,0.022,Mario Ramos,Baja California,51040.0,ALTO,55.4,366,1.0
POL-000053,Aut-23-000053,Alicia,Lopez,Sanchez,LOAS040420FF1,2004-04-20,22,M,Soltero,Arquitecto,Autos,RC+LT,2023-10-31,2023-10-31,2024-10-31,0,Vigente,,Banca Seguros,Mazda,2021.0,Pick-up,800000,8000.0,28000.0,32480.0,Anual,AG060,Tamaulipas,Matamoros,50857.0,Automoviles,0.035,Automoviles,0.035,Victor Jimenez,Queretaro,18-30,Automoviles,0.035,Victor Jimenez,Queretaro,32480.000000000004,ALTO,22.1,366,1.0
